PlantID	host	hostCon	hostAdZ	hostCeZ	X	Y	Height	Length	Width	logsize	Green	Grey	Red	Striped	total	occupied	logtotal	greenpro	C1N	C2N	C10N	C1A	C2A	C10A	q1N	q2N	q10N	q1A	q2A	q10A	C2NA	C2NC	q2NA	q2NC
A49	A	-1	0	1	19.5	19.75	130	120	150	6.369215857	1	0	0	1	2	1	0.477121255	0.5	0.713	0.837	0.33	0.89	1.131	0.573	0.247	0.294	0.389	0.302	0.304	0.286	0.706	0.131	0.254	0.514
A50	A	-1	0	1	21.75	19.75	170	230	100	6.592176757	0	0	0	9	9	1	1	0	0.643	0.717	0.309	0.993	1.045	0.543	0.407	0.383	0.408	0.427	0.368	0.297	0.592	0.125	0.355	0.516
A51	A	-1	0	1	22	21	180	120	150	6.51054501	2	0	0	1	3	1	0.602059991	0.666666667	0.875	0.836	0.319	0.919	1.011	0.542	0.19	0.295	0.396	0.231	0.298	0.289	0.696	0.14	0.244	0.547
A52	A	-1	0	1	19.75	25.5	120	130	190	6.471878199	1	0	0	1	2	1	0.477121255	0.5	0.573	0.713	0.332	0.579	0.898	0.562	0.576	0.51	0.431	0.461	0.381	0.293	0.363	0.35	0.347	0.679
A53	A	-1	0	1	17	23	120	120	110	6.199755177	0	0	0	0	0	0	0	0	0.705	0.796	0.339	0.829	1.147	0.594	0.489	0.466	0.416	0.348	0.332	0.29	0.469	0.327	0.312	0.688
A54	A	-1	0	1	22.25	25	160	170	160	6.638688887	3	0	0	0	3	1	0.602059991	1	0.298	0.555	0.314	0.4	0.764	0.531	0.369	0.403	0.419	0.375	0.353	0.29	0.398	0.157	0.312	0.635
A55	A	-1	0	1	23.5	22.75	220	280	100	6.789580712	2	1	0	4	7	1	0.903089987	0.285714286	0.4	0.59	0.301	0.501	0.816	0.516	0.453	0.426	0.418	0.525	0.422	0.301	0.462	0.128	0.37	0.629
A56	A	-1	0	1	25.25	21	150	120	190	6.534026106	5	1	0	7	13	1	1.146128036	0.384615385	0.461	0.51	0.272	0.682	0.813	0.481	0.538	0.448	0.41	0.35	0.35	0.298	0.299	0.211	0.292	0.669
A57	A	-1	0	1	28.5	22	100	80	70	5.748188027	0	0	0	0	0	0	0	0	0.38	0.412	0.245	0.656	0.684	0.412	0.636	0.522	0.42	0.517	0.434	0.308	0.205	0.208	0.325	0.718
A58	A	-1	0	1	28.25	20.25	90	80	60	5.635483747	0	0	0	0	0	0	0	0	0.542	0.47	0.247	0.609	0.617	0.412	0.638	0.527	0.414	0.474	0.415	0.306	0.208	0.262	0.334	0.681
A59	A	-1	0	1	26.25	24.5	140	70	110	6.032618761	1	0	0	0	1	1	0.301029996	1	0.264	0.437	0.273	0.493	0.735	0.462	0.295	0.387	0.421	0.175	0.274	0.291	0.323	0.114	0.29	0.663
A60	A	-1	0	1	28.75	25	110	90	90	5.949877704	0	0	0	2	2	1	0.477121255	0	0.125	0.248	0.235	0.584	0.671	0.406	0.427	0.457	0.432	0.292	0.334	0.307	0.157	0.09	0.31	0.713
A61	A	-1	0	1	9.25	26.5	160	170	160	6.638688887	0	0	0	2	2	1	0.477121255	0	0.211	0.37	0.273	0.712	0.961	0.524	0.414	0.449	0.431	0.181	0.22	0.271	0.138	0.232	0.17	0.614
A62	A	-1	0	1	11.25	26.5	120	170	100	6.309630167	0	0	0	0	0	0	0	0	0.459	0.553	0.3	0.891	1.129	0.556	0.502	0.489	0.432	0.23	0.241	0.274	0.174	0.379	0.184	0.629
A63	A	-1	0	1	10.5	28.5	100	110	80	5.944482672	0	0	0	0	0	0	0	0	0.49	0.525	0.29	0.791	1.004	0.531	0.528	0.502	0.439	0.253	0.255	0.273	0.107	0.418	0.17	0.587
A64	A	-1	0	1	14.5	28	150	160	180	6.635483747	0	0	0	1	1	1	0.301029996	0	0.637	0.687	0.324	1.105	1.158	0.568	0.623	0.571	0.446	0.376	0.303	0.283	0.165	0.521	0.277	0.664
A65	A	-1	0	1	13.5	28	180	150	180	6.686636269	1	0	0	1	2	1	0.477121255	0.5	0.491	0.618	0.316	1.112	1.17	0.564	0.542	0.54	0.442	0.151	0.213	0.271	0.124	0.494	0.141	0.64
A66	A	-1	0	1	12.5	29.5	210	150	110	6.539703239	0	0	0	0	0	0	0	0	0.888	0.679	0.308	0.997	1.069	0.543	0.555	0.531	0.446	0.36	0.286	0.277	0.108	0.571	0.232	0.588
A67	A	-1	0	1	13.5	32.5	130	120	90	6.147367108	0	0	0	0	0	0	0	0	0.351	0.581	0.305	0.582	0.856	0.512	0.525	0.511	0.454	0.254	0.262	0.277	0.051	0.53	0.187	0.542
A68	A	-1	0	1	15.25	32.5	130	40	60	5.494154594	0	0	0	0	0	0	0	0	0.383	0.588	0.311	0.867	0.917	0.516	0.507	0.511	0.457	0.298	0.272	0.281	0.062	0.526	0.187	0.549
A69	A	-1	0	1	16	29.5	140	100	100	6.146128036	0	0	0	2	2	1	0.477121255	0	0.403	0.61	0.323	0.611	0.95	0.552	0.578	0.553	0.453	0.295	0.292	0.286	0.12	0.49	0.256	0.626
A70	A	-1	0	1	17	25.75	110	90	85	5.92505412	0	0	0	0	0	0	0	0	1.252	0.917	0.34	1.04	1.136	0.583	0.693	0.589	0.437	0.503	0.369	0.291	0.265	0.652	0.297	0.707
A71	A	-1	0	1	21	27.25	150	100	180	6.431363764	2	0	0	4	6	1	0.84509804	0.333333333	0.243	0.509	0.314	0.416	0.764	0.536	0.53	0.51	0.442	0.479	0.408	0.298	0.248	0.261	0.39	0.624
A72a	A	-1	0	1	23.75	31.25	140	100	90	6.100370545	2	0	0	1.5	3.5	1	0.653212514	0.571428571	0.907	0.67	0.281	0.889	0.893	0.467	0.506	0.502	0.453	0.441	0.38	0.297	0.159	0.511	0.41	0.531
A72b	A	-1	0	1	24.75	29	100	140	110	6.187520721	2	0	0	1.5	3.5	1	0.653212514	0.571428571	0.416	0.498	0.278	0.505	0.744	0.469	0.463	0.459	0.442	0.401	0.365	0.299	0.214	0.283	0.358	0.536
A73	A	-1	0	1	26.75	30.5	160	200	200	6.806179974	1	0	0	1	2	1	0.477121255	0.5	0.399	0.442	0.25	0.568	0.696	0.419	0.461	0.47	0.448	0.289	0.313	0.298	0.159	0.283	0.358	0.533
A74	A	-1	0	1	28.25	31.25	170	70	90	6.029789471	0	0	0	1	1	1	0.301029996	0	0.227	0.324	0.227	0.397	0.549	0.382	0.528	0.503	0.453	0.457	0.38	0.308	0.108	0.216	0.41	0.55
A75	A	-1	0	1	19	28.75	100	70	100	5.84509804	0	0	0	3	3	1	0.602059991	0	0.454	0.637	0.323	0.465	0.829	0.545	0.532	0.536	0.452	0.412	0.371	0.296	0.194	0.443	0.356	0.614
A76	A	-1	0	1	25.5	26.25	90	90	100	5.908485019	0	0	0	2	2	1	0.477121255	0	0.213	0.403	0.278	0.479	0.722	0.471	0.417	0.446	0.436	0.508	0.427	0.309	0.287	0.116	0.385	0.597
A77	A	-1	0	1	27.5	27	90	80	110	5.898725182	0	0	0	3	3	1	0.602059991	0	0.141	0.282	0.248	0.488	0.667	0.427	0.306	0.432	0.441	0.236	0.32	0.307	0.184	0.098	0.346	0.595
A78	A	-1	0	1	29.75	26.5	90	100	80	5.857332496	0	0	0	0	0	0	0	0	0.129	0.205	0.22	0.497	0.55	0.377	0.133	0.345	0.432	0.107	0.249	0.305	0.142	0.063	0.203	0.667
A79	A	-1	0	1	4.25	38.5	80	90	60	5.635483747	0	0	0	0	0	0	0	0	0.137	0.237	0.19	0.658	0.606	0.336	0.344	0.335	0.436	0.071	0.146	0.25	0.075	0.161	0.102	0.444
